simulator,nodes,T,total_events,elapsed_s,events_per_sec
CPU,100,1000,289356,281.8349744863808,1026.6859197561466
CPU,1000,1000,2874332,1822.650812153006,1577.0064023424738
CPU,10000,500,892,12.262672087992541,72.74107907308681
GPU,100,1000,288343,1082.4575780667365,266.3781064889204
GPU,1000,1000,2871407,1460.5384206986055,1965.9921021636303
GPU,10000,500,13937080,961.8760095079197,14489.4766708341
GPU,100000,200,9896001,182.45067901001312,54239.32129875436
GPU,1000000,50,2416084,56.327592158922926,42893.43654497514
