graph,N,base_nups_mean,base_nups_std,mixed_nups_mean,mixed_nups_std,speedup,rel_err_R_mean_pct,rel_err_R_max_pct
er,1000000,7146025776.097612,360996494.4715209,8155533858.930188,676521348.3696445,1.1412684636835806,0.13355318784171855,0.4570009472848767
ba,1000000,433799227.6863052,949107.461075631,458209766.5891261,236454.66603466048,1.0562715130522846,0.17420156310955284,0.38444663310045624
