config_name,engine_type,num_nodes,num_edges,epsilon,steps_per_launch,sparse_hazard,compute_multiplier,total_wall_time_s,steps_executed,time_per_step_ms,steps_per_second,estimated_flops_per_step,estimated_bytes_per_step,arithmetic_intensity,achieved_gflops,memory_bound_ceiling_gflops,compute_bound_ceiling_gflops,efficiency_percent
renewal_baseline,renewal,1000000,8000000,0.03,1,True,1,0.7411202252842486,500,1.4822404505684972,674.6543717764961,75000000,116000004,0.6465517018430448,50.599077883237214,1318.3189200579682,19500.0,3.8381515362771483
renewal_dense,renewal,1000000,8000000,0.03,1,False,1,0.46569305332377553,500,0.9313861066475511,1073.6685815503724,152000000,116000004,1.310344782401904,163.19762439565662,2671.7930113174825,19500.0,6.10816869811268
renewal_batched_10,renewal_cuda_graph,1000000,8000000,0.03,10,True,1,3.1232639509253204,5000,0.624652790185064,1600.8893511925767,75000000,116000004,0.6465517018430448,120.06670133944327,1318.3189200579682,19500.0,9.107561115345579
renewal_batched_50,renewal_cuda_graph,1000000,8000000,0.03,50,True,1,14.164530425332487,25000,0.5665812170132996,1764.9720286730346,75000000,116000004,0.6465517018430448,132.3729021504776,1318.3189200579682,19500.0,10.041037880625803
renewal_batched_100,renewal_cuda_graph,1000000,8000000,0.03,100,True,1,28.29282160755247,50000,0.5658564321510494,1767.232716960723,75000000,116000004,0.6465517018430448,132.54245377205422,1318.3189200579682,19500.0,10.053899079763351
renewal_small_tau,renewal,1000000,8000000,0.01,1,True,1,0.7351725068874657,500,1.4703450137749314,680.1124842343104,75000000,116000004,0.6465517018430448,51.008436317573285,1318.3189200579682,19500.0,3.8692030844350147
renewal_large_tau,renewal,1000000,8000000,0.1,1,True,1,0.738178685773164,500,1.476357371546328,677.3427757214406,75000000,116000004,0.6465517018430448,50.80070817910805,1318.3189200579682,19500.0,3.8534460369327235
renewal_compute_heavy,renewal_cuda_graph,1000000,8000000,0.03,50,False,2,18.25301776267588,25000,0.7301207105070353,1369.6365349033122,262000000,116000004,2.258620611771703,358.8447721446678,4605.3274274025025,19500.0,7.79194916759835
renewal_ridge_8,renewal_cuda_graph,1000000,8000000,0.03,50,False,8,42.79728666227311,25000,1.7118914664909244,584.1491821031293,922000000,116000004,7.948275587990497,538.5855458990852,16206.533923912622,19500.0,3.3232617685414287
renewal_ridge_16,renewal_cuda_graph,1000000,8000000,0.03,50,False,16,75.52614365285262,25000,3.021045746114105,331.01120738945275,1802000000,116000004,15.534482222948888,596.4821957157939,31674.809252592786,19500.0,3.058883054952789
renewal_compute_bound,renewal_cuda_graph,1000000,8000000,0.03,50,False,20,91.82714069681242,25000,3.673085627872497,272.25066369585676,2242000000,116000004,19.327585540428085,610.3859880061109,39408.946916932866,19500.0,3.1301845538774917
markov_baseline,markovian,1000000,8000000,0,1,True,1,761.5152520411648,500,1523.0305040823296,0.6565856674042975,39000000,84000004,0.4642856921768718,0.025606841028767605,946.6785263486416,19500.0,0.002704914109284142
markov_aggressive,markovian,1000000,8000000,0,1,True,1,3698.3887193310075,500,7396.777438662015,0.13519400959303265,39000000,84000004,0.4642856921768718,0.005272566374128274,946.6785263486416,19500.0,0.0005569542592737019
markov_conservative,markovian,1000000,8000000,0,1,True,1,382.3251805352047,500,764.6503610704094,1.3077872592646556,39000000,84000004,0.4642856921768718,0.05100370311132157,946.6785263486416,19500.0,0.0053876476218430655
