graph,N,use_compaction,mean_nups,std_nups,mean_wall_s,final_S,final_E,final_I,final_R,nups_buckets_csv
er,1000000,0,4638245455.909753,207217062.22289613,0.388879272339788,104.33333333333333,529.6666666666666,22983.0,976383.0,"4.518e+09,4.526e+09,4.519e+09,4.528e+09,4.581e+09,4.797e+09,4.799e+09,4.806e+09,4.812e+09,4.819e+09"
er,1000000,1,5518289121.837729,17144099.362758473,0.3261911973337798,104.33333333333333,529.6666666666666,22983.0,976383.0,"4.527e+09,4.739e+09,4.752e+09,4.905e+09,5.354e+09,5.905e+09,5.600e+09,6.636e+09,9.940e+09,1.213e+10"
ba,1000000,0,440375405.207593,521023.5707850909,5.563537503335586,4240.333333333333,459.0,20125.0,975175.6666666666,"4.377e+08,4.408e+08,4.408e+08,4.407e+08,4.408e+08,4.409e+08,4.406e+08,4.409e+08,4.409e+08,4.409e+08"
ba,1000000,1,663644492.2909755,15158586.080340497,3.6934449516702443,4240.333333333333,459.0,20125.0,975175.6666666666,"4.430e+08,4.629e+08,6.264e+08,7.409e+08,8.328e+08,9.773e+08,1.399e+09,1.549e+09,1.707e+09,1.948e+09"
