graph,N,base_nups_mean,base_nups_std,mixed_nups_mean,mixed_nups_std,speedup,rel_err_R_mean_pct,rel_err_R_max_pct
er,1000000,4700533938.950141,144516033.67145243,5700663574.597675,4306987.10618735,1.2127693680413916,0.2318815112260736,0.4341101873799144
ba,1000000,440436257.0020469,601367.752805763,464123307.6324174,100465.66424613768,1.053780882599455,0.11676479301142217,0.2726399856333421
